KernelName,GridSize,BlockSize,Comp_inst_kernel,avg_comp_lat,glob_inst_kernel,avg_glob_lat,avg_shar_lat,block_size,misc_inst_kernel,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,cache_penalty,Avg,Time,Regs,Loops
heartwall,51,1020,2912,85.58962912087912,507,538.3372781065088,36.0,1020,715,315,315,192,44583.0,2523.618106842041,66.35,3428.45,10,1
heartwall,51,559,2912,85.58962912087912,507,538.3372781065088,36.0,559,715,315,315,192,24433.0,1383.041687965393,69.3,4579.9,10,1
heartwall,51,609,2912,85.58962912087912,507,538.3372781065088,36.0,609,715,315,315,192,26629.0,1506.7484579086304,68.9,4297.85,10,1
heartwall,51,870,2912,85.58962912087912,507,538.3372781065088,36.0,870,715,315,315,192,38050.0,2152.497797012329,67.5,3819.25,10,1
heartwall,51,123,2912,85.58962912087912,507,538.3372781065088,36.0,123,715,315,315,192,5380.0,608.6373081207275,69.2,15266.7,10,1
heartwall,51,602,2912,85.58962912087912,507,538.3372781065088,36.0,602,715,315,315,192,26300.0,1489.4295101165771,80.95,4086.25,10,1
heartwall,51,722,2912,85.58962912087912,507,538.3372781065088,36.0,722,715,315,315,192,31571.0,1786.325757980347,74.3,3943.2,10,1
heartwall,51,991,2912,85.58962912087912,507,538.3372781065088,36.0,991,715,315,315,192,43321.0,2451.8681802749634,81.65,3553.9,10,1
heartwall,51,843,2912,85.58962912087912,507,538.3372781065088,36.0,843,715,315,315,192,36842.0,2085.696141242981,74.25,3418.6,10,1
heartwall,51,715,2912,85.58962912087912,507,538.3372781065088,36.0,715,715,315,315,192,31241.0,1769.0068101882937,75.0,3723.5,10,1
heartwall,51,866,2912,85.58962912087912,507,538.3372781065088,36.0,866,715,315,315,192,37885.0,2142.60125541687,74.7,3651.35,10,1
heartwall,51,768,2912,85.58962912087912,507,538.3372781065088,36.0,768,715,315,315,192,33602.0,1900.135986328125,59.7,3925.75,10,1
heartwall,51,272,2912,85.58962912087912,507,538.3372781065088,36.0,272,715,315,315,192,11859.0,1345.929656982422,60.4,8594.55,10,1
heartwall,51,754,2912,85.58962912087912,507,538.3372781065088,36.0,754,715,315,315,192,32943.0,1865.4980907440183,60.55,3858.95,10,1
heartwall,51,731,2912,85.58962912087912,507,538.3372781065088,36.0,731,715,315,315,192,31955.0,1808.5929765701296,60.45,4329.35,10,1
heartwall,51,494,2912,85.58962912087912,507,538.3372781065088,36.0,494,715,315,315,192,21578.0,1222.2228870391846,61.4,5420.75,10,1
heartwall,51,775,2912,85.58962912087912,507,538.3372781065088,36.0,775,715,315,315,192,33877.0,1917.4549341201785,60.55,4252.65,10,1
heartwall,51,380,2912,85.58962912087912,507,538.3372781065088,36.0,380,715,315,315,192,16581.0,940.1714515686036,59.25,6670.65,10,1
heartwall,51,846,2912,85.58962912087912,507,538.3372781065088,36.0,846,715,315,315,192,37006.0,2093.118547439575,61.45,4235.7,10,1
heartwall,51,787,2912,85.58962912087912,507,538.3372781065088,36.0,787,715,315,315,192,34426.0,1947.1445589065552,61.25,4631.5,10,1
heartwall,51,382,2912,85.58962912087912,507,538.3372781065088,36.0,382,715,315,315,192,16691.0,945.119722366333,62.45,6272.25,10,1
heartwall,51,1023,2912,85.58962912087912,507,538.3372781065088,36.0,1023,715,315,315,192,44748.0,2531.0405130386353,63.05,3542.15,10,1
heartwall,51,124,2912,85.58962912087912,507,538.3372781065088,36.0,124,715,315,315,192,5380.0,613.585578918457,65.75,16564.55,10,1
heartwall,51,802,2912,85.58962912087912,507,538.3372781065088,36.0,802,715,315,315,192,35085.0,1984.2565898895264,74.3,3590.75,10,1
heartwall,51,700,2912,85.58962912087912,507,538.3372781065088,36.0,700,715,315,315,192,30582.0,1731.8947792053225,73.9,3962.3,10,1
heartwall,51,692,2912,85.58962912087912,507,538.3372781065088,36.0,692,715,315,315,192,30253.0,1712.1016960144043,74.4,3734.85,10,1
heartwall,51,506,2912,85.58962912087912,507,538.3372781065088,36.0,506,715,315,315,192,22127.0,1251.9125118255615,74.9,4767.05,10,1
heartwall,51,667,2912,85.58962912087912,507,538.3372781065088,36.0,667,715,315,315,192,29155.0,1650.2483110427856,74.5,4179.0,10,1
heartwall,51,925,2912,85.58962912087912,507,538.3372781065088,36.0,925,715,315,315,192,40465.0,2288.57524394989,74.2,3668.55,10,1
heartwall,51,521,2912,85.58962912087912,507,538.3372781065088,36.0,521,715,315,315,192,22786.0,1289.0245428085327,76.1,5009.15,10,1
heartwall,51,421,2912,85.58962912087912,507,538.3372781065088,36.0,421,715,315,315,192,18393.0,1041.611002922058,76.2,5556.05,10,1
heartwall,51,920,2912,85.58962912087912,507,538.3372781065088,36.0,920,715,315,315,192,40246.0,2276.2045669555664,74.2,3797.3,10,1
heartwall,51,621,2912,85.58962912087912,507,538.3372781065088,36.0,621,715,315,315,192,27123.0,1536.438082695007,74.75,4237.9,10,1
heartwall,51,347,2912,85.58962912087912,507,538.3372781065088,36.0,347,715,315,315,192,15154.0,858.5249834060669,76.75,6138.15,10,1
heartwall,51,519,2912,85.58962912087912,507,538.3372781065088,36.0,519,715,315,315,192,22676.0,1284.0762720108032,64.15,5435.0,10,1
heartwall,51,895,2912,85.58962912087912,507,538.3372781065088,36.0,895,715,315,315,192,39148.0,2214.351181983948,60.3,4121.55,10,1
heartwall,51,537,2912,85.58962912087912,507,538.3372781065088,36.0,537,715,315,315,192,23444.0,1328.6107091903689,60.65,5441.3,10,1
heartwall,51,904,2912,85.58962912087912,507,538.3372781065088,36.0,904,715,315,315,192,39532.0,2236.6184005737305,60.6,4368.45,10,1
heartwall,51,836,2912,85.58962912087912,507,538.3372781065088,36.0,836,715,315,315,192,36567.0,2068.3771934509277,61.0,4453.1,10,1
heartwall,51,295,2912,85.58962912087912,507,538.3372781065088,36.0,295,715,315,315,192,12902.0,1459.7398853302002,60.2,8318.5,10,1
heartwall,51,869,2912,85.58962912087912,507,538.3372781065088,36.0,869,715,315,315,192,37995.0,2150.0236616134644,63.3,3680.85,10,1
heartwall,51,320,2912,85.58962912087912,507,538.3372781065088,36.0,320,715,315,315,192,14001.0,1583.4466552734375,61.8,7699.7,10,1
heartwall,51,656,2912,85.58962912087912,507,538.3372781065088,36.0,656,715,315,315,192,28661.0,1623.0328216552734,60.75,4848.1,10,1
heartwall,51,816,2912,85.58962912087912,507,538.3372781065088,36.0,816,715,315,315,192,35689.0,2018.8944854736328,60.0,4577.1,10,1
heartwall,51,935,2912,85.58962912087912,507,538.3372781065088,36.0,935,715,315,315,192,40905.0,2313.3165979385376,61.9,4002.5,10,1
heartwall,51,535,2912,85.58962912087912,507,538.3372781065088,36.0,535,715,315,315,192,23390.0,1323.6624383926392,65.25,4859.05,10,1
heartwall,51,956,2912,85.58962912087912,507,538.3372781065088,36.0,956,715,315,315,192,41783.0,2365.2734413146973,60.0,4125.05,10,1
heartwall,51,863,2912,85.58962912087912,507,538.3372781065088,36.0,863,715,315,315,192,37720.0,2135.178849220276,60.1,4223.9,10,1
heartwall,51,355,2912,85.58962912087912,507,538.3372781065088,36.0,355,715,315,315,192,15483.0,878.3180665969849,59.5,7292.65,10,1
heartwall,51,653,2912,85.58962912087912,507,538.3372781065088,36.0,653,715,315,315,192,28551.0,1615.6104154586792,60.3,4908.65,10,1
bfs,512,2,35,62.74285714285714,11,578.8181818181819, NaN,2,1,5,8,3,10.0,4.891276041666666,49.25,4487209.875,21,200
bfs,1024,2,35,62.74285714285714,11,578.8181818181819, NaN,2,1,5,8,3,21.0,9.782552083333332,50.0,4554294.857,21,200
