Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power
206,Basic,div,512,1024,524288,13,0,13,260,27420,105.4615385,2,40,15833,395.825,0,0,0,0,0,820,8200,10,1120,0,20,20,8960,1024,40,1,16,3703.6798,1583.3,0,0,16,14730.1891,104.26715
198,Basic,div,1024,512,524288,13,0,13,260,27420,105.4615385,2,40,15833,395.825,0,0,0,0,0,820,8200,10,1120,0,20,20,8960,512,79,1,16,3703.6798,1583.3,0,0,32,14730.1891,106.51602
199,Basic,div,1024,1024,1048576,13,0,13,507,53469,105.4615385,2,78,37071,475.2692308,0,0,0,0,0,1599,15990,10,2184,0,39,39,34944,1024,79,1,31,4315.2396,3826.6839,0,0,32,49286.6405,107.81416
242,basic,vecoddmult,128,16,2048,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,3,16,10,0.25,1,3184.8213,12.4438,0,0,4,13.5844,65.93886
243,basic,vecoddmult,128,32,4096,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,6,32,10,0.25,1,3184.8213,24.8875,0,0,4,27.1689,66.69967
235,basic,vecoddmult,256,16,4096,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,6,16,20,0.25,1,3184.8213,24.8875,0,0,8,27.1689,68.42724
244,basic,vecoddmult,128,64,8192,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,12,64,10,0.5,1,3184.8213,49.775,0,0,4,54.3377,69.35899
236,basic,vecoddmult,256,32,8192,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,12,32,20,0.25,1,3184.8213,49.775,0,0,8,54.3377,69.78893
228,basic,vecoddmult,512,16,8192,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,12,16,40,0.25,1,3184.8213,49.775,0,0,16,54.3377,73.1363
245,basic,vecoddmult,128,128,16384,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,128,10,1,2,3184.8213,49.775,0,0,4,108.6755,76.26762
237,basic,vecoddmult,256,64,16384,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,64,20,0.5,2,3184.8213,49.775,0,0,8,108.6755,76.53403
229,basic,vecoddmult,512,32,16384,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,32,40,0.25,2,3184.8213,49.775,0,0,16,108.6755,77.31622
221,basic,vecoddmult,1024,16,16384,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,16,79,0.25,2,3184.8213,49.775,0,0,32,108.6755,77.41016
270,basic,vecoddmult,1280,16,20480,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,29,16,99,0.25,2,3184.8213,62.2188,0,0,40,135.8444,80.49013
246,basic,vecoddmult,128,256,32768,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,256,10,1,2,3314.8683,250.6,0,0,4,412.4274,91.086
238,basic,vecoddmult,256,128,32768,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,128,20,1,2,3314.8683,250.6,0,0,8,412.4274,90.23908
230,basic,vecoddmult,512,64,32768,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,64,40,0.5,2,3314.8683,250.6,0,0,16,412.4274,90.98843
222,basic,vecoddmult,1024,32,32768,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,32,79,0.25,2,3314.8683,250.6,0,0,32,412.4274,83.77517
271,basic,vecoddmult,1280,32,40960,17,0,54,40,584,14.6,31,16,5034,314.625,0,0,0,0,0,132,1320,10,188,2,12,4,118,32,99,0.25,2,3314.8683,314.625,0,0,40,516.8394,85.75008
263,basic,vecoddmult,2560,16,40960,17,0,54,40,584,14.6,31,16,5034,314.625,0,0,0,0,0,132,1320,10,188,2,12,4,118,16,197,0.25,2,3314.8683,314.625,0,0,80,516.8394,86.1272
247,basic,vecoddmult,128,512,65536,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,512,10,1,3,3444.6935,510.0667,0,0,4,1190.6508,104.15702
239,basic,vecoddmult,256,256,65536,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,256,20,1,3,3444.6935,510.0667,0,0,8,1190.6508,104.79997
231,basic,vecoddmult,512,128,65536,17,0,54,60,876,14.6,31,24,7651,318.7916667,0,0,0,0,0,198,1980,10,282,3,18,6,282,128,40,1,3,3444.6935,510.0667,0,0,16,1190.6508,107.17054
