Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,global_Throughput,glb_penalty,wtotal,cache_penalty,sh_throughput,sh_penalty,occupancy,Power
532,vecAddMul,vecAddMul,1600,64,102400,17,0,20,60,3924,65.4,8,24,10590,441.25,0,0,0,0,66,198,1980,10,282,3,18,6,441,,,15777.16449,390.202435,4,517.0898438,0,0,1,67.91505
533,vecAddMul,vecAddMul,3200,32,102400,17,0,20,60,3924,65.4,8,24,10590,441.25,0,0,0,0,66,198,1980,10,282,3,18,6,441,,,15777.16449,390.202435,4,517.0898438,0,0,0.5,64.71892
534,vecAddMul,vecAddMul,6400,16,102400,17,0,20,60,3924,65.4,8,24,10590,441.25,0,0,0,0,66,198,1980,10,282,3,18,6,441,,,15777.16449,390.202435,4,517.0898438,0,0,0.5,70.06579
535,vecAddMul,vecAddMul,100,1024,102400,17,0,20,60,3924,65.4,8,24,10590,441.25,0,0,0,0,66,198,1980,10,282,3,18,6,441,,,15777.16449,390.202435,4,517.0898438,0,0,1,64.63946
536,vecAddMul,vecAddMul,1000,128,128000,17,0,20,80,5232,65.4,8,32,14120,441.25,0,0,0,0,66,264,2640,10,376,4,24,8,734,,,15796.27841,649.5504658,5,689.453125,0,0,1,75.88943
537,vecAddMul,vecAddMul,128,1024,131072,17,0,20,80,5232,65.4,8,32,14120,441.25,0,0,0,0,66,264,2640,10,376,4,24,8,752,,,15796.27841,665.139677,5,706,0,0,1,76.19048
538,vecAddMul,vecAddMul,256,512,131072,17,0,20,80,5232,65.4,8,32,14120,441.25,0,0,0,0,66,264,2640,10,376,4,24,8,752,,,15796.27841,665.139677,5,706,0,0,1,76.29907
539,vecAddMul,vecAddMul,512,256,131072,17,0,20,80,5232,65.4,8,32,14120,441.25,0,0,0,0,66,264,2640,10,376,4,24,8,752,,,15796.27841,665.139677,5,706,0,0,1,76.4469
540,vecAddMul,vecAddMul,1024,128,131072,17,0,20,80,5232,65.4,8,32,14120,441.25,0,0,0,0,66,264,2640,10,376,4,24,8,752,,,15796.27841,665.139677,5,706,0,0,1,76.51867
541,vecAddMul,vecAddMul,1280,128,163840,17,0,20,100,6540,65.4,8,40,17650,441.25,0,0,0,0,66,330,3300,10,470,5,30,10,1175,,,15815.38722,1038.025043,6,919.2708333,0,0,1,92.14079
542,vecAddMul,vecAddMul,2560,64,163840,17,0,20,100,6540,65.4,8,40,17650,441.25,0,0,0,0,66,330,3300,10,470,5,30,10,1175,,,15815.38722,1038.025043,6,919.2708333,0,0,1,81.3673
543,vecAddMul,vecAddMul,5120,32,163840,17,0,20,100,6540,65.4,8,40,17650,441.25,0,0,0,0,66,330,3300,10,470,5,30,10,1175,,,15815.38722,1038.025043,6,919.2708333,0,0,0.5,78.30483
544,vecAddMul,vecAddMul,10240,16,163840,17,0,20,100,6540,65.4,8,40,17650,441.25,0,0,0,0,66,330,3300,10,470,5,30,10,1175,,,15815.38722,1038.025043,6,919.2708333,0,0,0.5,78.49106
545,vecAddMul,vecAddMul,1500,128,192000,17,0,20,120,7848,65.4,8,48,21180,441.25,0,0,0,0,66,396,3960,10,564,6,36,12,1652,,,15834.49091,1457.961619,7,1108.049665,0,0,1,79.68671
546,vecAddMul,vecAddMul,1000,256,256000,17,0,20,160,10464,65.4,8,64,28240,441.25,0,0,0,0,66,528,5280,10,752,8,48,16,2938,,,15872.68295,2585.695193,8,1723.632813,0,0,1,80.91106
547,vecAddMul,vecAddMul,2000,128,256000,17,0,20,160,10464,65.4,8,64,28240,441.25,0,0,0,0,66,528,5280,10,752,8,48,16,2938,,,15872.68295,2585.695193,8,1723.632813,0,0,1,82.3103
548,vecAddMul,vecAddMul,256,1024,262144,17,0,20,160,10464,65.4,8,64,28240,441.25,0,0,0,0,66,528,5280,10,752,8,48,16,3008,,,15872.68295,2647.751878,9,1568.888889,0,0,1,79.14017
549,vecAddMul,vecAddMul,512,512,262144,17,0,20,160,10464,65.4,8,64,28240,441.25,0,0,0,0,66,528,5280,10,752,8,48,16,3008,,,15872.68295,2647.751878,9,1568.888889,0,0,1,82.24869
550,vecAddMul,vecAddMul,1024,256,262144,17,0,20,160,10464,65.4,8,64,28240,441.25,0,0,0,0,66,528,5280,10,752,8,48,16,3008,,,15872.68295,2647.751878,9,1568.888889,0,0,1,84.43642
551,vecAddMul,vecAddMul,1280,256,327680,17,0,20,200,13080,65.4,8,80,35300,441.25,0,0,0,0,66,660,6600,10,940,10,60,20,4700,,,15910.85454,4127.186998,10,2206.25,0,0,1,80.55113
552,vecAddMul,vecAddMul,2560,128,327680,17,0,20,200,13080,65.4,8,80,35300,441.25,0,0,0,0,66,660,6600,10,940,10,60,20,4700,,,15910.85454,4127.186998,10,2206.25,0,0,1,81.34956
553,vecAddMul,vecAddMul,5120,64,327680,17,0,20,200,13080,65.4,8,80,35300,441.25,0,0,0,0,66,660,6600,10,940,10,60,20,4700,,,15910.85454,4127.186998,10,2206.25,0,0,1,83.28594
554,vecAddMul,vecAddMul,10240,32,327680,17,0,20,200,13080,65.4,8,80,35300,441.25,0,0,0,0,66,660,6600,10,940,10,60,20,4700,,,15910.85454,4127.186998,10,2206.25,0,0,0.5,83.11938
555,vecAddMul,vecAddMul,1500,256,384000,17,0,20,240,15696,65.4,8,96,42360,441.25,0,0,0,0,66,792,7920,10,1128,12,72,24,6609,,,15949.0057,5789.973478,12,2585.449219,0,0,1,80.94307
556,vecAddMul,vecAddMul,1000,512,512000,17,0,20,320,20928,65.4,8,128,56480,441.25,0,0,0,0,66,1056,10560,10,1504,16,96,32,11750,,,16025.24675,10244.31527,16,3447.265625,0,0,1,83.88056
557,vecAddMul,vecAddMul,2000,256,512000,17,0,20,320,20928,65.4,8,128,56480,441.25,0,0,0,0,66,1056,10560,10,1504,16,96,32,11750,,,16025.24675,10244.31527,16,3447.265625,0,0,1,84.96024
558,vecAddMul,vecAddMul,4000,128,512000,17,0,20,320,20928,65.4,8,128,56480,441.25,0,0,0,0,66,1056,10560,10,1504,16,96,32,11750,,,16025.24675,10244.31527,16,3447.265625,0,0,1,83.55512
559,vecAddMul,vecAddMul,512,1024,524288,17,0,20,320,20928,65.4,8,128,56480,441.25,0,0,0,0,66,1056,10560,10,1504,16,96,32,12032,,,16025.24675,10490.17884,16,3530,0,0,1,83.03764
560,vecAddMul,vecAddMul,1024,512,524288,17,0,20,320,20928,65.4,8,128,56480,441.25,0,0,0,0,66,1056,10560,10,1504,16,96,32,12032,,,16025.24675,10490.17884,16,3530,0,0,1,84.92194
561,vecAddMul,vecAddMul,1280,512,655360,17,0,20,400,26160,65.4,8,160,70600,441.25,0,0,0,0,66,1320,13200,10,1880,20,120,40,18800,,,16101.40619,16313.37567,20,4412.5,0,0,1,85.08233
562,vecAddMul,vecAddMul,2560,256,655360,17,0,20,400,26160,65.4,8,160,70600,441.25,0,0,0,0,66,1320,13200,10,1880,20,120,40,18800,,,16101.40619,16313.37567,20,4412.5,0,0,1,86.0911
563,vecAddMul,vecAddMul,5120,128,655360,17,0,20,400,26160,65.4,8,160,70600,441.25,0,0,0,0,66,1320,13200,10,1880,20,120,40,18800,,,16101.40619,16313.37567,20,4412.5,0,0,1,85.58283
564,vecAddMul,vecAddMul,10240,64,655360,17,0,20,400,26160,65.4,8,160,70600,441.25,0,0,0,0,66,1320,13200,10,1880,20,120,40,18800,,,16101.40619,16313.37567,20,4412.5,0,0,1,84.12831
565,vecAddMul,vecAddMul,1500,512,768000,17,0,20,480,31392,65.4,8,192,84720,441.25,0,0,0,0,66,1584,15840,10,2256,24,144,48,26438,,,16177.48411,22832.80128,23,5395.720109,0,0,1,87.54574
566,vecAddMul,vecAddMul,2000,512,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,1,86.81414
567,vecAddMul,vecAddMul,4000,256,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,1,85.62783
568,vecAddMul,vecAddMul,1000,1024,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,1,86.28453
569,vecAddMul,vecAddMul,4000,256,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,1,85.477
570,vecAddMul,vecAddMul,8000,128,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,1,85.62415
571,vecAddMul,vecAddMul,16000,64,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,1,86.70588
572,vecAddMul,vecAddMul,32000,32,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,0.5,86.44045
573,vecAddMul,vecAddMul,64000,16,1024000,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,47000,,,16329.39573,40214.02451,30,7354.166667,0,0,0.5,90.46604
574,vecAddMul,vecAddMul,1024,1024,1048576,17,0,20,640,41856,65.4,8,256,112960,441.25,0,0,0,0,66,2112,21120,10,3008,32,192,64,48128,,,16329.39573,41179.1611,31,7287.741935,0,0,1,85.85829
575,vecAddMul,vecAddMul,1280,1024,1310720,17,0,20,800,52320,65.4,8,320,141200,441.25,0,0,0,0,66,2640,26400,10,3760,40,240,80,75200,,,16480.98229,63750.63897,39,9051.282051,0,0,1,86.14973
576,vecAddMul,vecAddMul,2560,512,1310720,17,0,20,800,52320,65.4,8,320,141200,441.25,0,0,0,0,66,2640,26400,10,3760,40,240,80,75200,,,16480.98229,63750.63897,39,9051.282051,0,0,1,88.00711
577,vecAddMul,vecAddMul,5120,256,1310720,17,0,20,800,52320,65.4,8,320,141200,441.25,0,0,0,0,66,2640,26400,10,3760,40,240,80,75200,,,16480.98229,63750.63897,39,9051.282051,0,0,1,85.69215
578,vecAddMul,vecAddMul,10240,128,1310720,17,0,20,800,52320,65.4,8,320,141200,441.25,0,0,0,0,66,2640,26400,10,3760,40,240,80,75200,,,16480.98229,63750.63897,39,9051.282051,0,0,1,87.42229
579,vecAddMul,vecAddMul,2560,1024,2621440,17,0,20,1600,104640,65.4,8,640,282400,441.25,0,0,0,0,66,5280,52800,10,7520,80,480,160,300800,,,17234.06368,243859.6426,76,18578.94737,0,0,1,86.00707
580,vecAddMul,vecAddMul,5120,512,2621440,17,0,20,1600,104640,65.4,8,640,282400,441.25,0,0,0,0,66,5280,52800,10,7520,80,480,160,300800,,,17234.06368,243859.6426,76,18578.94737,0,0,1,86.40693
581,vecAddMul,vecAddMul,10240,256,2621440,17,0,20,1600,104640,65.4,8,640,282400,441.25,0,0,0,0,66,5280,52800,10,7520,80,480,160,300800,,,17234.06368,243859.6426,76,18578.94737,0,0,1,86.44943
582,vecAddMul,vecAddMul,5120,1024,5242880,17,0,20,3200,209280,65.4,8,1280,564800,441.25,0,0,0,0,66,10560,105600,10,15040,160,960,320,1203200,,,18716.24433,898191.439,151,37403.97351,0,0,1,88.53389
583,vecAddMul,vecAddMul,10240,512,5242880,17,0,20,3200,209280,65.4,8,1280,564800,441.25,0,0,0,0,66,10560,105600,10,15040,160,960,320,1203200,,,18716.24433,898191.439,151,37403.97351,0,0,1,88.11487
584,vecAddMul,vecAddMul,20000,512,10240000,17,0,20,6260,409404,65.4,8,2504,1104890,441.25,0,0,0,0,66,20658,206580,10,29422,313,1878,626,4597188,,,21463.99712,2992481.058,294,73400.96195,0,0,1,87.6175
585,vecAddMul,vecAddMul,10240,1024,10485760,17,0,20,6400,418560,65.4,8,2560,1129600,441.25,0,0,0,0,66,21120,211200,10,30080,320,1920,640,4812800,,,21587.03853,3114974.833,301,75056.47841,0,0,1,88.82478
