Sr No.,Benchmark,Kernel Name,,C/M,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sm,comp_lat_sm,avg_comp_lat,glob_inst_kernel,glob_inst_sm,glob_lat_sm,avg_glob_lat,shar_inst_kernel,shar_inst_sm,shar_lat_sm,avg_shar_lat,misc_inst_kernel,misc_inst_sm,misc_lat_sm,avg_misc_lat,total_inst,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power,inst_issue_cycle
23,Basic,div,,C/M,512,256,131072.0000,13,0,13,65,6855,105.4615385,2,10,3298,329.8,0,0,0,0,0,205,2050,10,280,0,5,5,560,256,40,1.0000,5.0000,3217.3538,263.8400,0.0000,0.0000,16.0000,1062.3190,88.17192,
24,Basic,div,,C/M,1024,128,131072.0000,13,0,13,65,6855,105.4615385,2,10,3298,329.8,0,0,0,0,0,205,2050,10,280,0,5,5,560,128,79,1.0000,5.0000,3217.3538,263.8400,0.0000,0.0000,32.0000,1062.3190,89.88434,
25,Basic,div,,C/M,256,1024,262144.0000,13,0,13,130,13710,105.4615385,2,20,7036,351.8,0,0,0,0,0,410,4100,10,560,0,10,10,2240,1024,20,1.0000,9.0000,3379.8086,625.4222,0.0000,0.0000,8.0000,4038.6287,98.18559,
26,Basic,div,,C/M,512,512,262144.0000,13,0,13,130,13710,105.4615385,2,20,7036,351.8,0,0,0,0,0,410,4100,10,560,0,10,10,2240,512,40,1.0000,9.0000,3379.8086,625.4222,0.0000,0.0000,16.0000,4038.6287,98.86065,
27,Basic,div,,C/M,1024,256,262144.0000,13,0,13,130,13710,105.4615385,2,20,7036,351.8,0,0,0,0,0,410,4100,10,560,0,10,10,2240,256,79,1.0000,9.0000,3379.8086,625.4222,0.0000,0.0000,32.0000,4038.6287,100.25582,
28,Basic,div,,C/M,512,1024,524288.0000,13,0,13,260,27420,105.4615385,2,40,15833,395.825,0,0,0,0,0,820,8200,10,1120,0,20,20,8960,1024,40,1.0000,16.0000,3703.6798,1583.3000,0.0000,0.0000,16.0000,14730.1891,104.26715,
29,Basic,div,,C/M,1024,512,524288.0000,13,0,13,260,27420,105.4615385,2,40,15833,395.825,0,0,0,0,0,820,8200,10,1120,0,20,20,8960,512,79,1.0000,16.0000,3703.6798,1583.3000,0.0000,0.0000,32.0000,14730.1891,106.51602,
30,Basic,div,,C/M,1024,1024,1048576.0000,13,0,13,507,53469,105.4615385,2,78,37071,475.2692308,0,0,0,0,0,1599,15990,10,2184,0,39,39,34944,1024,79,1.0000,31.0000,4315.2396,3826.6839,0.0000,0.0000,32.0000,49286.6405,107.81416,
31,basic,vecoddmult,,,128,16,2048.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,3,16,10,0.25,1.0000,3184.8213,12.4438,0.0000,0.0000,4.0000,13.5844,65.93886,
32,basic,vecoddmult,,,128,32,4096.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,6,32,10,0.25,1.0000,3184.8213,24.8875,0.0000,0.0000,4.0000,27.1689,66.69967,
33,basic,vecoddmult,,,256,16,4096.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,6,16,20,0.25,1.0000,3184.8213,24.8875,0.0000,0.0000,8.0000,27.1689,68.42724,
34,basic,vecoddmult,,,128,64,8192.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,12,64,10,0.5,1.0000,3184.8213,49.7750,0.0000,0.0000,4.0000,54.3377,69.35899,
35,basic,vecoddmult,,,256,32,8192.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,12,32,20,0.25,1.0000,3184.8213,49.7750,0.0000,0.0000,8.0000,54.3377,69.78893,
36,basic,vecoddmult,,,512,16,8192.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,12,16,40,0.25,1.0000,3184.8213,49.7750,0.0000,0.0000,16.0000,54.3377,73.1363,
37,basic,vecoddmult,,,128,128,16384.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,128,10,1.0000,2.0000,3184.8213,49.7750,0.0000,0.0000,4.0000,108.6755,76.26762,
38,basic,vecoddmult,,,256,64,16384.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,64,20,0.5,2.0000,3184.8213,49.7750,0.0000,0.0000,8.0000,108.6755,76.53403,
39,basic,vecoddmult,,,512,32,16384.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,32,40,0.25,2.0000,3184.8213,49.7750,0.0000,0.0000,16.0000,108.6755,77.31622,
40,basic,vecoddmult,,,1024,16,16384.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,24,16,79,0.25,2.0000,3184.8213,49.7750,0.0000,0.0000,32.0000,108.6755,77.41016,
41,basic,vecoddmult,,,1280,16,20480.0000,17,0,54,20,292,14.6,31,8,1991,248.875,0,0,0,0,0,66,660,10,94,1,6,2,29,16,99,0.25,2.0000,3184.8213,62.2188,0.0000,0.0000,40.0000,135.8444,80.49013,
42,basic,vecoddmult,,,128,256,32768.0000,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,256,10,1.0000,2.0000,3314.8683,250.6000,0.0000,0.0000,4.0000,412.4274,91.086,
43,basic,vecoddmult,,,256,128,32768.0000,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,128,20,1.0000,2.0000,3314.8683,250.6000,0.0000,0.0000,8.0000,412.4274,90.23908,
44,basic,vecoddmult,,,512,64,32768.0000,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,64,40,0.5,2.0000,3314.8683,250.6000,0.0000,0.0000,16.0000,412.4274,90.98843,
45,basic,vecoddmult,,,1024,32,32768.0000,17,0,54,40,584,14.6,31,16,5012,313.25,0,0,0,0,0,132,1320,10,188,2,12,4,94,32,79,0.25,2.0000,3314.8683,250.6000,0.0000,0.0000,32.0000,412.4274,83.77517,
